OCCUPATION,FEMALE
hair dresser,692
hair dresser,2234
hominy dealer,2913
huckster,68
huckster,143
huckster,144
huckster,476
huckster,503
huckster,523
huckster,529
huckster,579
huckster,885
huckster,1085
huckster,1147
huckster,1286
huckster,2038
huckster,2344
huckster,2348
idle,1245
ironing,2502
ironing,2504
ironing,2510
ironing,2511
ironing,2515
ironing,2517
ironing,2522
ironing,2529
ironing,2559
ironing,2565
ironing,2603
ironing,2607
ironing,2610
ironing,2613
ironing,2623
ironing,2625
ironing,2628
ironing,2636
ironing,2641
ironing,2651
ironing,2666
ironing,2685
ironing,2699
ironing,2732
ironing,2736
ironing,2737
ironing,2751
ironing,2754
ironing,2763
ironing,2765
ironing,2770
ironing,2771
ironing,2774
ironing,2778
ironing,2780
ironing,2785
ironing,2795
ironing,2803
ironing,2804
ironing,2810
ironing,2814
ironing,2824
ironing,2829
ironing,2843
ironing,2858
ironing,2860
ironing,2861
ironing,2865
ironing,2866
ironing,2868
ironing,2873
ironing,2875
ironing,2877
ironing,2879
ironing,2883
ironing,2888
ironing,2892
ironing,2893
ironing,2896
ironing,2899
ironing,2906
ironing,2910
ironing,2914
ironing,2915
ironing,2924
ironing,2925
ironing,2927
ironing,2939
ironing,2940
ironing,2943
ironing,2946
ironing,2947
ironing,2955
ironing,2956
ironing,2960
ironing,2961
ironing,2963
ironing,2964
ironing,2969
ironing,2973
ironing,2974
ironing,2977
ironing,2978
ironing,2979
ironing,2983
ironing,2984
ironing,2989
ironing,2990
ironing,2991
ironing,2992
ironing,2993
ironing,2994
ironing,2995
ironing,3002
ironing,3009
ironing,3011
ironing,3012
ironing,3018
ironing,3022
ironing,3027
ironing,3028
ironing,3031
ironing,3032
ironing,3037
ironing,3041
ironing,3046
ironing,3048
ironing,3050
ironing,3052
ironing,3053
ironing,3056
ironing,3057
ironing,3058
ironing,3059
ironing,3060
ironing,3062
ironing,3063
ironing,3068
ironing,3069
ironing,3074
ironing,3075
ironing,3080
ironing,3081
ironing,3083
ironing,3089
ironing,3092
ironing,3094
ironing,3098
ironing,3100
ironing,3101
ironing,3102
ironing,3108
ironing,3109
ironing,3113
ironing,3116
ironing,3128
ironing,3129
ironing,3134
ironing,3136
ironing,3143
ironing,3144
ironing,3148
ironing,3154
ironing,3155
ironing,3157
ironing,3160
ironing,3166
ironing,3168
ironing,3171
ironing,3172
ironing,3174
ironing,3176
ironing,3179
ironing,3180
ironing,3182
ironing,3184
ironing,3190
ironing,3194
ironing,3195
ironing,3196
ironing,3201
ironing,3204
ironing,3205
ironing,3208
ironing,3209
ironing,3211
ironing,3212
ironing,3214
ironing,3215
ironing,3217
ironing,3219
ironing,3221
ironing,3223
ironing,3224
ironing,3225
ironing,3226
ironing,3229
ironing,3231
ironing,3234
ironing,3243
ironing,3244
ironing,3245
ironing,3256
ironing,3258
ironing,3264
ironing,3272
ironing,3274
ironing,3281
ironing,3283
ironing,3284
ironing,3290
ironing,3292
ironing,3293
ironing,3294
ironing,3295
ironing,3299
ironing,3300
ironing,3302
ironing,3305
ironing,3306
ironing,3308
ironing,3309
ironing,3310
ironing,3311
ironing,3315
ironing,3316
ironing,3318
ironing,3325
ironing,3326
ironing,3328
ironing,3331
ironing,3334
ironing,3335
ironing,3337
ironing,3340
ironing,3341
ironing,3347
ironing,3349
ironing,3351
ironing,3352
ironing,3355
ironing,3357
ironing,3358
ironing,3360
ironing,3372
ironing,3380
ironing,3385
ironing,3393
ironing,3394
ironing,3398
ironing,3399
ironing,3401
ironing,3402
ironing,3405
ironing,3406
ironing,3407
ironing,3419
ironing,3420
ironing,3422
ironing,3429
ironing,3430
ironing,3432
ironing,3435
ironing,3437
ironing,3441
ironing,3452
ironing,3454
ironing,3457
ironing,3460
ironing,3463
ironing,3467
ironing,3468
ironing,3471
ironing,3479
ironing,3481
ironing,3494
ironing,3498
ironing,3501
ironing,3503
ironing,3504
ironing,3506
ironing,3509
ironing,3510
ironing,3512
ironing,3513
ironing,3516
ironing,3517
ironing,3519
ironing,3524
ironing,3525
ironing,3526
ironing,3528
ironing,3534
ironing,3535
ironing,3536
ironing,3537
ironing,3538
ironing,3539
ironing,3541
ironing,3542
ironing,3544
ironing,3549
ironing,3550
ironing,3551
ironing,3554
ironing,3557
ironing,3558
ironing,3562
ironing,3565
ironing,3566
ironing,3570
ironing,3579
ironing,3585
ironing,3588
ironing,3591
ironing,3592
ironing,3602
ironing,3608
ironing,3611
ironing,3615
ironing,3620
ironing,3621
ironing,3624
ironing,3627
ironing,3628
ironing,3631
ironing,3637
ironing,3640
ironing,3644
ironing,3647
ironing,3648
ironing,3650
ironing,3655
ironing,3656
ironing,3659
ironing,3661
ironing,3665
ironing,3666
ironing,3668
ironing,3673
ironing,3674
ironing,3677
ironing,3679
ironing,3680
ironing,3681
ironing,3682
ironing,3683
ironing,3692
ironing,3697
ironing,3700
ironing,3708
ironing,3712
ironing,3718
ironing,3719
ironing,3722
ironing,3723
ironing,3725
ironing,3730
ironing,3732
ironing,3735
ironing,3738
ironing,3740
ironing,3741
ironing,3742
ironing,3748
ironing,3749
ironing,3751
ironing,3752
ironing,3755
ironing,3756
ironing,3757
ironing,3758
ironing,3762
ironing,3763
ironing,3769
ironing,3770
ironing,3774
ironing,3775
ironing,3776
ironing,3779
ironing,3780
ironing,3783
ironing,3788
ironing,3792
ironing,3793
ironing,3800
ironing,3804
ironing,3807
ironing,3808
ironing,3809
ironing,3814
ironing,3815
ironing,3816
ironing,3819
ironing,3822
ironing,3826
ironing,3827
ironing,3830
ironing,3835
ironing,3836
ironing,3837
ironing,3839
ironing,3843
ironing,3844
ironing,3845
ironing,3847
ironing,3850
ironing,3852
ironing,3857
ironing,3858
ironing,3860
ironing,3861
ironing,3863
ironing,3868
ironing,3871
ironing,3873
ironing,3874
ironing,3875
ironing,3878
ironing,3879
ironing,3882
ironing,3883
ironing,3884
ironing,3885
ironing,3887
ironing,3898
ironing,3899
ironing,3901
ironing,3906
ironing,3912
ironing,3914
ironing,3920
ironing,3921
ironing,3933
ironing,3937
ironing,3938
ironing,3942
ironing,3943
ironing,3944
ironing,3945
ironing,3946
ironing,3949
ironing,3951
ironing,3955
ironing,3957
ironing,3959
ironing,3964
ironing,3975
ironing,3976
ironing,3980
ironing,3986
ironing,3987
ironing,3988
ironing,3989
ironing,3990
ironing,3991
ironing,3995
ironing,4000
ironing,4001
ironing,4003
ironing,4005
ironing,4009
ironing,4021
ironing,4096
ironing,4174
ironing,4279
janitor,347
makes mats,3242
makes mats,3433
makes mats,3971
muffin baker,310
not able,550
not able,701
not able,735
not able,745
not able,785
not able,793
not able,799
not able,831
not able,843
not able,865
not able,876
not able,880
not able,881
not able,896
not able,902
not able,952
not able,961
not able,1013
not able,1051
not able,1083
not able,1131
not able,1173
not able,1181
not able,1216
not able,1224
not able,1234
not able,1250
not able,1260
not able,1289
not able,1413
not able,1418
not able,1434
not able,1438
not able,1440
not able,1454
not able,1462
not able,1524
not able,1529
not able,1534
not able,1550
not able,1586
not able,1647
not able,1649
not able,1690
not able,1725
not able,1773
not able,1793
not able,1794
not able,1823
not able,1829
not able,1860
not able,1880
not able,1907
not able,1926
not able,1965
not able,1991
not able,1999
not able,2017
not able,2077
not able,2106
not able,2116
not able,2144
not able,2157
not able,2172
not able,2175
not able,2245
not able,2266
not able,2288
not able,2301
not able,2305
not able,2319
not able,2324
not able,2454
not able,2499
not able to work,118
not able to work,367
not able to work,429
not able to work,434
not able to work,454
not able to work,490
not able to work,513
not able to work,547
not able to work,554
not able to work,596
null,5
null,7
null,9
null,24
null,38
null,47
null,49
null,51
null,52
null,56
null,57
null,58
null,66
null,70
null,73
null,99
null,109
null,111
null,121
null,153
null,154
null,164
null,176
null,184
null,218
null,233
null,263
null,277
null,286
null,294
null,297
null,299
null,306
null,337
null,338
null,352
null,421
null,422
null,423
null,431
null,472
null,480
null,488
null,492
null,497
null,500
null,501
null,533
null,541
null,553
null,556
null,577
null,605
null,608
null,617
null,624
null,636
null,670
null,677
null,690
null,716
null,744
null,763
null,774
null,776
null,790
null,820
null,822
null,835
null,840
null,849
null,866
null,873
null,874
null,875
null,893
null,904
null,935
null,940
null,943
null,969
null,983
null,1000
null,1006
null,1022
null,1030
null,1098
null,1105
null,1109
null,1166
null,1177
null,1185
null,1188
null,1189
null,1191
null,1192
null,1198
null,1203
null,1205
null,1208
null,1215
null,1232
null,1251
null,1252
null,1266
null,1273
null,1276
null,1291
null,1293
null,1300
null,1318
null,1319
null,1329
null,1333
null,1349
null,1362
null,1400
null,1409
null,1450
null,1492
null,1494
null,1536
null,1555
null,1569
null,1576
null,1584
null,1589
null,1598
null,1613
null,1615
null,1617
null,1618
null,1622
null,1623
null,1638
null,1648
null,1668
null,1669
null,1671
null,1686
null,1694
null,1722
null,1733
null,1740
null,1747
null,1748
null,1749
null,1752
null,1769
null,1770
null,1775
null,1785
null,1786
null,1795
null,1811
null,1815
null,1818
null,1824
null,1825
null,1838
null,1840
null,1850
null,1854
null,1861
null,1862
null,1864
null,1874
null,1876
null,1881
null,1886
null,1887
null,1890
null,1896
null,1898
null,1908
null,1911
null,1913
null,1914
null,1930
null,1938
null,1939
null,1945
null,1947
null,1963
null,1964
null,1968
null,1974
null,1977
null,1980
null,1982
null,1987
null,2001
null,2003
null,2005
null,2009
null,2016
null,2026
null,2028
null,2044
null,2047
null,2052
null,2061
null,2068
null,2071
null,2076
null,2095
null,2098
null,2099
null,2103
null,2107
null,2110
null,2123
null,2130
null,2140
null,2142
null,2143
null,2148
null,2152
null,2154
null,2158
null,2159
null,2161
null,2164
null,2166
null,2173
null,2183
null,2184
null,2202
null,2210
null,2211
null,2214
null,2216
null,2225
null,2229
null,2237
null,2253
null,2258
null,2263
null,2264
null,2279
null,2290
null,2291
null,2292
null,2296
null,2306
null,2310
null,2311
null,2312
null,2313
null,2315
null,2328
null,2356
null,2363
null,2370
null,2371
null,2375
null,2380
null,2383
null,2390
null,2409
null,2410
null,2418
null,2453
null,2479
null,2481
null,2490
null,2493
null,2500
null,2506
null,2512
null,2516
null,2519
null,2520
null,2523
null,2524
null,2525
null,2528
null,2533
null,2534
null,2555
null,2558
null,2566
null,2567
null,2568
null,2570
null,2573
null,2577
null,2582
null,2589
null,2596
null,2599
null,2606
null,2609
null,2611
null,2615
null,2634
null,2637
null,2638
null,2646
null,2648
null,2652
null,2653
null,2654
null,2655
null,2658
null,2659
null,2663
null,2670
null,2671
null,2676
null,2677
null,2683
null,2687
null,2693
null,2694
null,2695
null,2703
null,2704
null,2705
null,2712
null,2718
null,2719
null,2725
null,2731
null,2738
null,2742
null,2744
null,2746
null,2750
null,2752
null,2756
null,2764
null,2766
null,2779
null,2790
null,2792
null,2797
null,2808
null,2812
null,2813
null,2816
null,2818
null,2822
null,2830
null,2835
null,2837
null,2841
null,2848
null,2856
null,2859
null,2863
null,2867
null,2878
null,2881
null,2884
null,2885
null,2895
null,2900
null,2920
null,2937
null,2941
null,2949
null,2976
null,2980
null,2982
null,2997
null,3013
null,3021
null,3030
null,3038
null,3047
null,3051
null,3061
null,3065
null,3119
null,3146
null,3150
null,3152
null,3153
null,3158
null,3181
null,3238
null,3251
null,3254
null,3269
null,3276
null,3307
null,3322
null,3329
null,3339
null,3354
null,3359
null,3366
null,3381
null,3418
null,3426
null,3464
null,3466
null,3476
null,3491
null,3497
null,3518
null,3521
null,3563
null,3571
null,3594
null,3595
null,3596
null,3619
null,3622
null,3649
null,3664
null,3689
null,3694
null,3702
null,3705
null,3717
null,3778
null,3796
null,3799
null,3803
null,3823
null,3864
null,3896
null,3915
null,3932
null,3956
null,4006
null,4020
null,4030
null,4032
null,4055
null,4056
null,4066
null,4075
null,4079
null,4086
null,4091
null,4104
null,4120
null,4123
null,4132
null,4133
null,4139
null,4147
null,4149
null,4151
null,4166
null,4168
null,4169
null,4171
null,4175
null,4177
null,4179
null,4187
null,4194
null,4196
null,4208
null,4225
null,4256
null,4260
null,4282
oyster dealer,3400
past work,1698
past work,2369
past work,2460
past work,2469
picks coal,3828
rag & bone,2932
rag & bone,2952
rag & bone,2953
rag & bone,2957
rag & bone,3006
rag & bone,3055
rag & bone,3076
rag & bone,3093
rag & bone,3112
rag & bone,3120
rag & bone,3133
